candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id
EXP-MEDIA-060,media,"Sibanye plans to cut 5 270 jobs as it restructures Marikana operations",2019,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,eligible_pending_acquisition,"Direct post-acquisition Marikana restructuring, employment, union, regulator and sustainability evidence",SEARCH-EN-003
EXP-MEDIA-061,media,"Sibanye confirms final Marikana retrenchment figures",2020,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-confirms-final-marikana-retrenchment-figures-2020-01-16,eligible_pending_acquisition,"Direct outcome of Marikana Section 189 process with stakeholder consultation and preserved/lost jobs",SEARCH-EN-003
EXP-MEDIA-062,media,"Sibanye settles Marikana streaming deal",2020,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-settles-marikana-streaming-deal-2020-03-04,eligible_pending_acquisition,"Direct Marikana operations financing/investment restructuring affecting operational flexibility and long-term obligations",SEARCH-EN-003
EXP-MEDIA-063,media,"Sibanye launches campaign to reimagine, foster Marikana community of the future",2021,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-launches-campaign-to-reimagine-foster-marikana-community-of-the-future-2021-04-16,eligible_pending_acquisition,"Direct launch of Marikana Renewal, multi-stakeholder engagement, bereaved-family support, housing and co-created socioeconomic development",SEARCH-EN-003
EXP-MEDIA-064,media,"Sibanye-Stillwater hoists first tons from R4bn 4 000-job K4 platinum project",2022,"Engineering News",https://www.engineeringnews.co.za/article/first-tons-hoisted-at-marikanas-top-tier-4-000-job-k4-platinum-project-2022-05-16,eligible_pending_acquisition,"Direct Marikana investment project with explicit employment and stakeholder-benefit implications",SEARCH-EN-003
EXP-MEDIA-065,media,"Sibanye reaches wage agreement with NUM, UASA, but AMCU holds out",2022,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-reaches-wage-agreement-with-num-uasa-but-amcu-holds-out-2022-09-30,eligible_pending_acquisition,"Distinct stage of Marikana/Rustenburg wage negotiations documenting union divergence before final settlement",SEARCH-EN-003
EXP-MEDIA-066,media,"Sibanye concludes five-year wage deal at Rustenburg, Marikana operations",2022,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,eligible_pending_acquisition,"Direct Marikana labour agreement, wages, benefits and five-year stability framing",SEARCH-EN-003
EXP-MEDIA-067,media,"Sibanye continues to make reparations at Marikana",2022,"Mining Weekly",https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,eligible_pending_acquisition,"Detailed Marikana Renewal, family reparations, memorial, housing, SLP, community infrastructure, employment and local economic development evidence",SEARCH-MW-004
EXP-MEDIA-068,media,"More than 4 000 jobs on the line as Sibanye considers future of four South African PGM shafts",2023,"Engineering News",https://www.engineeringnews.co.za/article/more-than-4-000-jobs-on-the-line-as-sibanye-considers-future-of-four-south-african-pgm-shafts-2023-10-25,eligible_pending_acquisition,"Substantial Marikana-specific discussion of 4B closure, Rowland rightsizing, Section 189 consultation and employment sustainability",SEARCH-EN-003
EXP-MEDIA-069,media,"For the platinum Industry, Marikana was a ‘Mechanisation Moment’",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-08-16-for-the-platinum-industry-marikana-was-a-mechanisation-moment/,eligible_pending_acquisition,"Marikana-centred analysis of mechanisation, labour power, wages, safety, investor response and post-2012 industry restructuring",SEARCH-DM-003
