candidate_id,source_family,title,year,publisher,url,screening_status,prescreen_bucket,decision_reason,search_id,source_universe
DISC-MEDIA-0001,media,Lonmins Killing Fields,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,candidate_pending_substantive_screen,lonmin_only_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains Lonmin without a high-specificity Marikana case term. Lonmin-only matches can be unrelated corporate or financial stories, so this record is not provisionally eligible and requires acquired-text substantive screening before any inclusion decision.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0002,media,Lonmin Mining Crisis Precarious Balance No Solution In Sight,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-15-lonmin-mining-crisis-precarious-balance-no-solution-in-sight/,candidate_pending_substantive_screen,lonmin_only_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains Lonmin without a high-specificity Marikana case term. Lonmin-only matches can be unrelated corporate or financial stories, so this record is not provisionally eligible and requires acquired-text substantive screening before any inclusion decision.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0003,media,Beyond The Chaos At Marikana The Search For The Real Issues,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-beyond-the-chaos-at-marikana-the-search-for-the-real-issues/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0004,media,Reporters Notebook Wonderkop Marikana Friday 17Th,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-reporters-notebook-wonderkop-marikana-friday-17th/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0005,media,Lonmin The Unacceptable Face Of Capitalism,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-lonmin-the-unacceptable-face-of-capitalism/,candidate_pending_substantive_screen,lonmin_only_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains Lonmin without a high-specificity Marikana case term. Lonmin-only matches can be unrelated corporate or financial stories, so this record is not provisionally eligible and requires acquired-text substantive screening before any inclusion decision.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0006,media,Marikana Massacre Global Medias Focus On Tripartite Failures And The Growing Class Divide,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-marikana-massacre-global-medias-focus-on-tripartite-failures-and-the-growing-class-divide/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0007,media,Outrage At Marikana Massacre Grows Around The World,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-outrage-at-marikana-massacre-grows-around-the-world/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0008,media,Analysis A Tough Future For Both Lonmin And Its Metal,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-analysis-a-tough-future-for-both-lonmin-and-its-metal/,candidate_pending_substantive_screen,lonmin_only_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains Lonmin without a high-specificity Marikana case term. Lonmin-only matches can be unrelated corporate or financial stories, so this record is not provisionally eligible and requires acquired-text substantive screening before any inclusion decision.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0009,media,Marikana Where Is The Anc,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-marikana-where-is-the-anc/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
DISC-MEDIA-0010,media,A World Away From Its Reality Marikana Dissected Used Abused,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-22-a-world-away-from-its-reality-marikana-dissected-used-abused/,candidate_pending_substantive_screen,explicit_case_title_review,"Discovered from a documented publisher archive/sitemap and the URL title contains a high-specificity case term (Marikana/Farlam/Nkaneng/Wonderkop/Bapo). This is a review trigger only; substantive corpus eligibility still requires acquired-text case-centrality, text-quality and duplicate review.",SEARCH-MEDIA-ARCHIVE-PRESCREEN,strict_documented
